ticker,name,時価総額億円,売上成長%,ROE%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
6862.T,ミナトホールディングス,248.1,343.4,60.8,75.1,3370.0,95.0,35.0,40.3,74.5,1.41
3454.T,ファーストブラザーズ,179.5,121.3,14.9,95.9,1280.0,71.0,1.2,5.0,56.5,0.18
3490.T,アズ企画設計,48.1,101.2,14.2,80.6,3190.0,84.0,2.6,7.7,66.7,0.8
3131.T,シンデン・ハイテックス,114.6,100.4,11.7,75.7,6080.0,100.0,28.5,55.9,71.7,1.26
4937.T,Ｗａｑｏｏ,87.5,88.0,22.0,100.0,2457.0,99.0,40.0,53.4,90.1,2.15
7175.T,今村証券,95.1,80.6,11.3,97.4,1859.0,97.0,10.1,26.5,76.3,1.1
7213.T,レシップホールディングス,101.2,73.6,21.2,95.4,664.0,85.0,4.8,11.6,66.9,0.97
6570.T,共和コーポレーション,232.1,69.5,25.5,96.4,3880.0,100.0,55.1,96.6,88.7,5.21
4125.T,三和油化工業,165.0,61.7,10.0,89.2,3820.0,98.0,7.4,19.4,68.9,0.52
3374.T,内外テック,141.0,60.0,10.4,76.6,4030.0,96.0,11.1,21.9,69.0,1.25
8704.T,トレイダーズホールディングス,364.8,58.6,24.3,98.7,1383.0,92.0,6.6,13.3,68.8,0.89
3723.T,日本ファルコム,283.3,53.2,15.7,90.5,2871.0,91.0,5.5,12.6,61.1,0.81
8700.T,丸八証券,77.8,51.8,12.3,76.4,1950.0,81.0,-0.3,6.9,41.6,1.21
7480.T,スズデン,430.5,47.7,12.3,89.6,3395.0,99.0,17.6,40.5,71.7,1.22
7695.T,交換できるくん,63.9,47.3,13.0,85.7,855.0,84.0,12.4,14.5,74.7,1.98
2404.T,鉄人化ホールディングス,74.7,40.1,54.0,70.1,559.0,41.0,-3.4,-3.1,28.6,2.13
8996.T,ハウスフリーダム,42.2,38.8,25.4,89.7,1100.0,75.0,4.4,8.5,73.4,0.81
7089.T,フォースタートアップス,97.2,38.3,27.5,72.5,1506.0,25.0,-6.6,-3.3,43.4,1.65
4629.T,大伸化学,96.3,38.0,8.4,81.3,2104.0,51.0,5.2,8.7,66.5,0.46
8596.T,九州リースサービス,367.8,31.8,9.7,86.7,1626.0,82.0,3.6,9.8,58.7,0.93
4255.T,ＴＨＥＣＯＯ,74.7,31.1,58.6,87.8,3530.0,97.0,25.9,39.5,81.3,3.75
3173.T,Ｃｏｍｉｎｉｘ,106.2,30.3,13.2,78.8,1546.0,99.0,27.3,45.8,74.6,2.74
3538.T,ウイルプラスホールディングス,93.3,29.6,9.5,70.5,1026.0,75.0,6.5,9.1,74.5,0.5
6863.T,ニレコ,202.3,29.0,8.9,79.2,942.0,82.0,1.8,5.9,60.2,0.66
9344.T,アクシスコンサルティング,63.7,26.4,17.2,77.4,1280.0,97.0,28.0,33.4,77.4,8.19
7565.T,萬世電機,129.9,26.0,9.1,84.2,8000.0,95.0,10.0,22.0,73.6,2.15
6138.T,ダイジェット工業,61.9,25.2,11.9,91.3,2083.0,100.0,44.0,70.9,89.0,1.78
3422.T,Ｊ－ＭＡＸ,72.0,25.0,9.7,74.7,627.0,96.0,13.4,24.9,71.0,1.23
6912.T,菊水ホールディングス,200.9,24.9,12.6,76.2,2412.0,86.0,10.6,12.8,60.6,1.32
5575.T,Ｇｌｏｂｅｅ,63.5,24.9,32.0,96.6,1295.0,100.0,18.8,59.2,73.2,0.81
2788.T,アップルインターナショナル,53.4,24.5,12.3,88.5,413.0,76.0,4.0,9.6,64.2,1.36
3467.T,アグレ都市デザイン,163.7,24.2,24.4,87.8,2845.0,81.0,2.3,9.4,59.2,0.76
7608.T,エスケイジャパン,141.3,23.5,22.2,75.7,842.0,85.0,5.6,8.6,73.9,0.6
9908.T,日本電計,307.8,23.4,12.8,88.9,2711.0,78.0,1.6,5.0,55.9,0.74
4994.T,大成ラミックグループ,170.5,22.6,8.6,97.1,2809.0,94.0,7.8,16.6,78.1,1.02
4258.T,網屋,379.2,20.5,35.2,80.4,4605.0,99.0,2.7,20.5,55.5,1.06
7133.T,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ,93.7,20.4,19.6,88.7,1314.0,97.0,5.3,18.4,78.9,0.59
7217.T,テイン,45.1,20.0,8.3,93.5,460.0,48.0,5.1,6.5,66.7,1.61
