ticker,name,時価総額億円,PBR,PER,配当利回り%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
5852.T,アーレスティ,170,0.3,4.7,6.18,13.0,680.0,21.0,-0.1,-2.4,62.5,0.6
6844.T,新電元工業,307,0.42,5.5,3.32,8.0,3015.0,11.0,-6.5,-12.2,48.6,0.55
7991.T,マミヤ・オーピー,111,0.43,6.5,4.66,6.4,1073.0,25.0,-0.1,-0.1,58.7,0.56
6493.T,ＮＩＴＴＡＮ,140,0.44,6.3,4.11,13.4,487.0,27.0,-3.6,0.8,43.1,0.59
7820.T,ニホンフラッシュ,161,0.5,0.5,5.1,7.3,706.0,25.0,-0.8,-1.3,51.8,0.59
8869.T,明和地所,194,0.52,5.1,4.84,14.8,826.0,47.0,-1.0,1.4,47.5,0.8
5280.T,ヨシコン,155,0.54,5.9,3.81,14.4,2231.0,42.0,1.7,1.2,69.0,0.82
4113.T,田岡化学工業,114,0.59,7.4,4.53,14.8,795.0,78.0,4.5,7.8,71.3,0.37
9994.T,やまや,222,0.6,10.7,3.42,9.2,2044.0,28.0,-1.6,-1.1,36.7,0.92
8585.T,オリエントコーポレーション,1457,0.6,11.3,4.7,10.1,851.0,26.0,-1.7,-2.0,46.1,0.77
5819.T,カナレ電気,120,0.61,10.0,4.07,9.6,1743.0,26.0,-0.7,-0.9,56.6,0.75
9305.T,ヤマタネ,435,0.69,8.1,3.64,11.9,2061.0,33.0,-0.6,0.1,46.9,0.74
4516.T,日本新薬,2285,0.77,7.7,3.66,6.1,3390.0,4.0,-4.8,-12.0,28.3,0.86
2918.T,わらべや日洋ホールディングス,473,0.79,8.9,4.39,15.3,2731.0,46.0,-2.5,1.3,36.9,0.62
2329.T,東北新社,685,0.81,9.8,5.43,12.6,498.0,11.0,-0.1,-3.0,69.6,0.38
6294.T,オカダアイヨン,158,0.88,10.6,3.82,7.4,1962.0,25.0,-0.1,-0.9,64.7,0.66
