date,market,ticker,name,high,close,change_pct
2026-08-19,JP,9101.T,日本郵船,6893.0,6733.0,-0.75
2026-08-18,US,AMGN,Amgen,427.39,425.28,1.41
2026-08-18,US,CRL,Charles River Laboratories,289.6,279.19,-2.6
2026-08-18,US,LH,Labcorp,329.47,322.18,-0.36
2026-08-18,US,MPC,Marathon Petroleum,367.24,366.21,2.24
2026-08-18,US,MRK,Merck & Co.,137.98,135.17,-0.59
2026-08-18,US,OKE,Oneok,97.9,97.07,1.84
2026-08-18,US,PSX,Phillips 66,243.6,243.49,1.22
2026-08-18,US,SCHW,Charles Schwab Corporation,112.2,111.68,0.99
2026-08-18,US,TRGP,Targa Resources,305.08,297.77,7.13
2026-08-18,US,VLO,Valero Energy,351.0,350.05,0.82
