ticker,name,時価総額億ドル,売上成長%,ROE%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
ADAM,"Adamas Trust, Inc.",8.8,129.8,16.4,83.1,9.699999809265137,55.0,-1.1,4.3,28.1,0.75
LPG,Dorian LPG Ltd.,23.6,124.0,28.3,99.0,53.56999969482422,90.0,11.7,22.5,73.8,0.83
WHD,"Cactus, Inc.",48.9,64.3,13.1,94.1,71.63999938964844,80.0,2.8,18.5,44.8,1.24
PARR,"Par Pacific Holdings, Inc.",40.7,56.8,53.5,90.8,81.9800033569336,96.0,5.8,21.2,52.7,0.98
CVI,"CVR Energy, Inc.",44.7,55.5,24.3,97.0,43.58000183105469,88.0,18.2,30.4,80.1,1.14
KALU,Kaiser Aluminum Corporation,26.8,52.7,26.4,69.2,160.77000427246094,15.0,-4.2,-6.8,31.6,0.92
QNST,"QuinStreet, Inc.",10.7,42.7,28.6,70.6,18.760000228881836,98.0,-2.5,18.3,34.5,1.1
EFC,"Ellington Financial, Inc.",17.7,33.8,12.2,72.9,13.350000381469727,34.0,-1.0,-1.2,33.7,0.88
HRMY,"Harmony Biosciences Holdings, Inc.",24.6,30.3,20.5,90.9,41.86000061035156,85.0,7.4,16.9,67.3,1.05
DAVE,"Dave, Inc.",48.6,29.6,104.8,78.0,390.8599853515625,96.0,9.5,13.9,65.7,0.79
CXW,CoreCivic,34.3,27.3,8.8,93.7,33.65999984741211,95.0,3.0,14.6,54.9,1.15
HLX,"Helix Energy Solutions Group, Inc.",15.6,23.5,37.6,96.8,10.600000381469727,55.0,13.9,10.6,84.3,1.25
JOE,St. Joe Company,37.6,23.0,16.2,72.5,66.06999969482422,43.0,-1.6,2.4,40.4,0.88
NPK,"National Presto Industries, Inc.",10.5,21.7,10.9,79.9,144.6999969482422,64.0,0.6,9.1,56.9,0.98
BLFS,"BioLife Solutions, Inc.",17.2,21.5,12.8,87.3,35.529998779296875,89.0,0.6,18.2,53.1,0.87
