date,market,ticker,name,high,close,change_pct
2026-08-26,JP,6098.T,リクルートHD,17155.0,17155.0,3.31
2026-08-26,JP,9432.T,NTT,170.0,169.6,0.24
2026-08-25,US,AMGN,Amgen,447.03,442.24,-0.36
2026-08-25,US,BIIB,Biogen,222.85,220.77,1.21
2026-08-25,US,CRL,Charles River Laboratories,300.59,297.64,-0.31
2026-08-25,US,EXPD,Expeditors International,189.99,189.05,0.65
2026-08-25,US,FCX,Freeport-McMoRan,79.95,79.91,2.71
2026-08-25,US,IBKR,Interactive Brokers,98.75,98.19,5.52
2026-08-25,US,IVZ,Invesco,33.0,32.72,0.83
2026-08-25,US,LH,Labcorp,339.76,337.68,-0.49
2026-08-25,US,MRK,Merck & Co.,156.92,156.45,3.84
2026-08-25,US,NEM,Newmont,135.29,135.14,2.5
2026-08-25,US,SOLV,Solventum,92.05,91.61,0.39
2026-08-25,US,TMO,Thermo Fisher Scientific,647.0,628.15,-0.09
2026-08-25,US,V,Visa Inc.,384.2,384.14,0.45
2026-08-25,US,VRTX,Vertex Pharmaceuticals,555.69,552.85,0.96
