date,market,ticker,name,high,close,change_pct
2026-09-18,JP,9432.T,NTT,180.1,177.3,-1.5
2026-09-22,US,A,Agilent Technologies,167.59,161.94,3.5
2026-09-22,US,AAPL,Apple Inc.,345.34,338.98,0.85
2026-09-22,US,AMD,Advanced Micro Devices,624.52,615.52,9.95
2026-09-22,US,BIIB,Biogen,226.38,219.07,1.66
2026-09-22,US,CRWD,CrowdStrike,250.8,249.35,4.92
2026-09-22,US,FFIV,"F5, Inc.",454.0,450.1,4.18
2026-09-22,US,MRNA,Moderna,187.2,172.94,12.27
2026-09-22,US,TECH,Bio-Techne,72.69,72.47,0.14
2026-09-22,US,WAT,Waters Corporation,433.09,423.92,0.54
