date,market,ticker,name,high,close,change_pct
2026-08-21,JP,7267.T,ホンダ,1762.5,1753.0,0.66
2026-08-21,JP,9101.T,日本郵船,7137.0,7101.0,4.5
2026-08-21,JP,9432.T,NTT,166.2,166.1,2.91
2026-08-21,US,A,Agilent Technologies,160.47,159.0,1.73
2026-08-21,US,BDX,Becton Dickinson,192.29,192.0,2.33
2026-08-21,US,COP,ConocoPhillips,135.88,134.87,-0.01
2026-08-21,US,DXCM,Dexcom,92.56,92.34,2.35
2026-08-21,US,FCX,Freeport-McMoRan,77.33,76.66,7.64
2026-08-21,US,IQV,IQVIA,260.4,259.82,1.47
2026-08-21,US,MRK,Merck & Co.,154.49,152.55,2.39
2026-08-21,US,NDSN,Nordson Corporation,338.4,332.24,-0.73
2026-08-21,US,REGN,Regeneron Pharmaceuticals,846.88,834.04,0.9
2026-08-21,US,RVTY,Revvity,124.97,124.75,0.5
2026-08-21,US,SCHW,Charles Schwab Corporation,112.4,112.3,2.29
2026-08-21,US,TGT,Target Corporation,165.48,165.44,4.54
2026-08-21,US,TRGP,Targa Resources,307.94,299.1,-1.04
2026-08-21,US,VRTX,Vertex Pharmaceuticals,555.31,548.05,1.44
