ticker,name,時価総額億円,PBR,PER,配当利回り%,52週位置%,close,MA25乖離%,MA75乖離%,RSI14,出来高倍率
5852.T,アーレスティ,167,0.3,4.6,6.28,9.4,669.0,-5.2,-8.8,29.7,0.84
7991.T,マミヤ・オーピー,110,0.42,6.4,4.69,5.6,1065.0,-2.5,-4.4,34.6,1.06
7820.T,ニホンフラッシュ,162,0.51,0.5,5.06,6.5,711.0,-1.2,-2.8,41.4,1.56
8869.T,明和地所,193,0.52,5.1,4.85,14.6,825.0,-0.1,-0.1,47.1,0.89
5280.T,ヨシコン,150,0.53,5.8,3.9,9.9,2181.0,-4.0,-2.7,33.7,1.93
4113.T,田岡化学工業,104,0.54,6.8,4.95,7.1,727.0,-3.0,-4.8,26.0,0.58
4331.T,テイクアンドギヴ・ニーズ,100,0.56,3.8,6.02,13.1,687.0,1.6,1.4,59.3,0.59
2700.T,木徳神糧,138,0.67,2.5,4.16,0.5,1684.0,-2.8,-5.2,37.1,1.11
9305.T,ヤマタネ,428,0.68,7.9,3.7,8.1,2025.0,-3.5,-0.7,38.4,1.43
7932.T,ニッピ,315,0.77,11.3,6.18,11.7,11260.0,-7.2,-4.9,31.1,2.51
2329.T,東北新社,687,0.8,9.9,5.42,1.3,499.0,-0.6,-7.5,50.0,0.72
6874.T,協立電機,186,0.85,8.5,3.03,0.5,2308.0,-8.8,-12.5,25.5,2.52
6294.T,オカダアイヨン,157,0.87,10.5,3.84,5.7,1951.0,-2.6,-3.8,32.5,1.78
9057.T,遠州トラック,236,0.95,10.4,3.04,11.6,3155.0,-1.1,-1.3,54.8,1.46
8877.T,エスリード,785,0.95,7.0,4.72,11.8,5090.0,-0.8,-1.3,41.5,0.74
