ticker,name,時価総額億円,PBR,PER,配当利回り%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
5852.T,アーレスティ,166,0.3,4.6,6.3,9.0,667.0,15.0,-1.8,-4.2,41.2,0.59
6844.T,新電元工業,292,0.4,5.2,3.49,2.4,2864.0,14.0,-8.3,-16.3,36.0,0.77
3417.T,大木ヘルスケアホールディングス,136,0.41,10.2,3.0,2.9,1000.0,10.0,-4.0,-8.1,29.3,0.52
7991.T,マミヤ・オーピー,110,0.43,6.4,4.68,5.9,1068.0,27.0,-0.5,-0.5,51.9,0.49
6493.T,ＮＩＴＴＡＮ,137,0.43,6.1,4.21,10.3,475.0,38.0,-5.4,-1.4,21.5,0.79
8860.T,フジ住宅,258,0.44,5.5,4.43,8.0,722.0,12.0,-4.8,-4.4,9.4,0.97
8869.T,明和地所,188,0.5,4.9,5.0,9.3,800.0,34.0,-4.1,-1.8,19.7,1.03
7820.T,ニホンフラッシュ,159,0.5,0.5,5.14,4.0,700.0,24.0,-1.5,-2.0,26.7,0.94
4996.T,クミアイ化学工業,799,0.52,11.7,3.62,4.6,663.0,10.0,-13.7,-10.9,14.0,1.86
5280.T,ヨシコン,153,0.54,5.8,3.87,11.4,2198.0,43.0,-0.1,-0.3,50.9,0.82
5464.T,モリ工業,347,0.59,10.3,3.94,6.9,914.0,20.0,-3.1,-3.1,15.6,1.27
9994.T,やまや,219,0.59,10.6,3.46,4.9,2024.0,26.0,-2.3,-1.9,33.1,1.51
8585.T,オリエントコーポレーション,1453,0.6,11.3,4.71,9.5,849.0,32.0,-1.9,-2.1,28.8,1.05
8914.T,エリアリンク,436,0.6,10.9,4.67,11.3,857.0,17.0,-6.7,-4.9,8.5,0.5
5819.T,カナレ電気,119,0.61,10.0,4.1,6.7,1730.0,26.0,-1.3,-1.5,42.6,1.08
2700.T,木徳神糧,139,0.68,5.5,5.58,1.0,1703.0,12.0,-3.7,-3.5,35.4,0.53
9305.T,ヤマタネ,432,0.69,8.1,3.67,10.4,2043.0,32.0,-1.7,-0.9,21.2,0.82
4516.T,日本新薬,2282,0.77,7.7,3.66,6.0,3386.0,6.0,-4.5,-11.4,24.1,0.82
7932.T,ニッピ,321,0.8,11.5,6.08,9.9,11450.0,24.0,-2.3,-3.1,30.3,0.7
2329.T,東北新社,587,0.8,9.8,5.47,11.3,495.0,11.0,-0.6,-3.1,52.3,0.47
9413.T,テレビ東京ホールディングス,888,0.84,11.5,3.01,4.3,3325.0,11.0,-2.4,-5.8,29.7,0.61
6294.T,オカダアイヨン,157,0.88,10.5,3.85,5.5,1950.0,25.0,-0.5,-1.5,44.4,0.62
1964.T,中外炉工業,266,0.91,5.9,4.36,3.4,3805.0,18.0,-5.4,-5.5,24.3,0.62
8877.T,エスリード,785,0.95,7.0,4.72,11.8,5090.0,48.0,-3.3,0.0,14.0,0.82
9612.T,ラックランド,136,0.99,7.1,3.39,6.0,1180.0,37.0,-4.7,-5.2,31.6,0.77
