date,market,ticker,name,high,close,change_pct
2026-08-13,JP,6098.T,リクルートHD,16980.0,16790.0,0.78
2026-08-13,JP,6857.T,アドバンテスト,37040.0,35940.0,4.02
2026-08-13,US,AME,Ametek,261.16,256.22,-0.89
2026-08-13,US,AMP,Ameriprise Financial,571.17,570.68,0.99
2026-08-13,US,BAC,Bank of America,65.2,64.09,-1.11
2026-08-13,US,CPAY,Corpay,425.95,425.24,3.8
2026-08-13,US,DELL,Dell Technologies,514.0,494.51,2.07
2026-08-13,US,DRI,Darden Restaurants,229.7,223.5,-1.84
2026-08-13,US,DXCM,Dexcom,91.62,91.48,0.75
2026-08-13,US,GPN,Global Payments,95.58,94.83,7.12
2026-08-13,US,HPQ,HP Inc.,32.19,31.3,6.9
2026-08-13,US,JPM,JPMorgan Chase,366.5,363.11,-0.57
2026-08-13,US,LH,Labcorp,325.58,322.59,-0.28
2026-08-13,US,LYV,Live Nation Entertainment,188.09,186.06,0.39
2026-08-13,US,MPC,Marathon Petroleum,357.2,356.37,2.33
2026-08-13,US,MRK,Merck & Co.,135.68,135.55,1.98
2026-08-13,US,MTB,M&T Bank,255.68,253.25,-0.12
2026-08-13,US,NTAP,NetApp,209.06,204.99,1.46
2026-08-13,US,NTRS,Northern Trust,192.67,190.48,-0.44
2026-08-13,US,OMC,Omnicom Group,88.4,88.36,3.33
2026-08-13,US,PANW,Palo Alto Networks,398.87,396.0,2.32
2026-08-13,US,PKG,Packaging Corporation of America,259.98,257.05,0.29
2026-08-13,US,PSX,Phillips 66,232.89,232.61,3.12
2026-08-13,US,RVTY,Revvity,118.34,117.5,-0.32
2026-08-13,US,SBUX,Starbucks,110.51,108.55,0.06
2026-08-13,US,SCHW,Charles Schwab Corporation,110.2,110.06,0.66
2026-08-13,US,TGT,Target Corporation,156.46,155.51,0.98
2026-08-13,US,USB,U.S. Bancorp,65.61,65.17,0.23
2026-08-13,US,VLO,Valero Energy,343.72,342.92,3.85
2026-08-13,US,WAT,Waters Corporation,420.25,413.51,-0.63
