date,market,ticker,name,high,close,change_pct
2026-09-14,JP,8001.T,伊藤忠商事,2373.5,2340.5,2.03
2026-09-14,JP,9432.T,NTT,178.9,178.3,1.48
2026-09-11,US,BBY,Best Buy,91.37,90.8,3.08
2026-09-11,US,DELL,Dell Technologies,567.75,567.29,11.98
2026-09-11,US,EXPD,Expeditors International,193.15,192.6,1.73
2026-09-11,US,HPQ,HP Inc.,36.23,35.48,8.4
2026-09-11,US,MPC,Marathon Petroleum,409.11,395.93,0.89
2026-09-11,US,PSX,Phillips 66,265.43,259.47,0.37
2026-09-11,US,SWKS,Skyworks Solutions,92.3,88.35,5.14
2026-09-11,US,VLO,Valero Energy,399.26,390.42,1.29
