market,ticker,name,close,RS%,52週位置%,ボラ収縮,出来高倍率,MA25乖離%,RSI14,タイプ
JP,3653.T,モルフォ,1399.0,100.0,75.0,0.9,9.44,64.6,75.3,PEAD
JP,3851.T,日本一ソフトウェア,1549.0,100.0,98.5,0.59,2.24,23.7,72.8,PEAD
JP,4052.T,フィーチャ,867.0,100.0,83.0,0.64,5.75,42.5,68.7,PEAD
JP,4440.T,ヴィッツ,2014.0,100.0,81.9,0.93,9.78,48.5,69.0,PEAD
JP,5242.T,アイズ,2500.0,100.0,70.5,0.52,0.34,15.0,66.4,PEAD
JP,6522.T,アスタリスク,1673.0,100.0,59.5,0.64,1.92,-11.7,42.2,PEAD
JP,3077.T,ホリイフードサービス,1274.0,99.0,95.9,0.67,0.7,21.6,83.0,PEAD
JP,4394.T,エクスモーション,647.0,99.0,70.9,0.57,3.47,10.2,64.1,PEAD
JP,4667.T,アイサンテクノロジー,3450.0,99.0,83.8,0.91,7.49,46.5,67.8,PEAD
JP,4234.T,サンエー化研,1022.0,98.0,88.4,0.39,1.57,7.4,56.0,PEAD
JP,5033.T,ヌーラボ,1179.0,98.0,87.2,0.82,3.68,27.6,85.6,PEAD
JP,2612.T,かどや製油,2319.0,97.0,84.2,0.87,5.35,23.6,82.2,PEAD
JP,9236.T,ジャパンＭ＆Ａソリューション,1420.0,97.0,95.3,0.5,0.36,7.9,65.1,PEAD
JP,4616.T,川上塗料,2415.0,95.0,70.4,0.81,1.38,11.0,78.1,PEAD
JP,5029.T,サークレイス,954.0,95.0,63.7,0.82,1.39,16.1,79.2,PEAD
JP,6904.T,原田工業,606.0,95.0,77.9,0.95,5.19,12.5,68.7,PEAD
JP,4082.T,第一稀元素化学工業,2579.0,93.0,51.1,0.84,2.28,14.6,66.1,PEAD
JP,2814.T,佐藤食品工業,3975.0,92.0,91.7,0.85,1.65,13.6,77.4,PEAD
JP,4477.T,ＢＡＳＥ,341.0,92.0,67.9,0.76,0.91,8.3,67.5,PEAD
JP,2961.T,日本調理機,1580.0,91.0,63.6,0.46,0.27,4.3,60.7,PEAD
JP,6599.T,エブレン,3850.0,91.0,90.9,0.69,3.25,13.8,70.8,PEAD
JP,6898.T,トミタ電機,4855.0,91.0,100.0,0.98,2.28,27.8,96.0,PEAD
JP,4976.T,東洋ドライルーブ,1636.0,88.0,78.2,0.96,2.77,13.1,52.8,PEAD
JP,6203.T,豊和工業,2247.0,88.0,94.8,0.88,6.81,45.7,88.8,PEAD
JP,3083.T,スターシーズ,1220.0,87.0,81.0,0.87,5.15,15.4,71.7,PEAD
JP,3645.T,メディカルネット,294.0,87.0,69.7,0.81,9.4,17.2,71.4,PEAD
JP,8700.T,丸八証券,2111.0,87.0,82.5,0.53,0.71,4.8,65.5,PEAD
JP,7689.T,コパ・コーポレーション,440.0,82.0,63.6,0.92,9.14,38.0,83.2,PEAD
JP,2593.T,伊藤園,3162.0,80.0,50.8,0.69,2.14,4.8,64.6,PEAD
JP,8247.T,大和,321.0,80.0,53.2,0.74,4.03,3.6,54.9,PEAD
JP,6196.T,ストライクグループ,1402.0,70.0,60.9,0.71,1.15,3.4,64.1,PEAD
JP,7859.T,アルメディオ,287.0,61.0,62.2,0.55,0.77,16.8,72.3,PEAD
JP,4371.T,コアコンセプト・テクノロジー,1460.0,59.0,83.8,1.0,0.37,3.1,67.5,PEAD
JP,4493.T,サイバーセキュリティクラウド,1805.0,35.0,51.4,0.7,1.1,-4.2,45.5,PEAD
JP,4420.T,イーソル,824.0,13.0,65.9,1.0,3.28,9.1,65.1,PEAD
US,VEEV,Veeva Systems,275.0899963378906,99.0,78.2,0.47,0.8,10.5,69.9,PEAD
US,NX,Quanex Building Products Corporation,22.93000030517578,98.0,97.5,0.74,1.76,12.5,61.5,PEAD
US,CRM,Salesforce,259.2300109863281,95.0,92.0,0.64,1.04,20.7,88.2,PEAD
US,DELL,Dell Technologies,524.1400146484375,92.0,97.4,0.64,2.43,13.2,59.0,PEAD
US,URBN,"Urban Outfitters, Inc.",80.97000122070312,72.0,82.8,0.69,0.9,4.0,58.4,PEAD
JP,2737.T,トーメンデバイス,33250.0,100.0,91.7,0.35,0.7,4.8,65.8,ブレイク待ち
JP,5242.T,アイズ,2500.0,100.0,70.5,0.52,0.34,15.0,66.4,ブレイク待ち
JP,6138.T,ダイジェット工業,2030.0,100.0,87.3,0.34,0.54,8.5,55.5,ブレイク待ち
JP,2354.T,ＹＥ　ＤＩＧＩＴＡＬ,1471.0,99.0,75.3,0.57,0.56,7.1,66.2,ブレイク待ち
JP,2767.T,円谷フィールズホールディングス,2444.0,99.0,85.9,0.21,0.46,-1.6,53.7,ブレイク待ち
JP,3131.T,シンデン・ハイテックス,6680.0,99.0,88.7,0.37,0.89,11.3,58.1,ブレイク待ち
JP,3195.T,ジェネレーションパス,701.0,99.0,67.4,0.59,0.76,9.9,67.8,ブレイク待ち
JP,3926.T,オープンドア,421.0,99.0,75.4,0.34,0.5,3.6,54.7,ブレイク待ち
JP,4635.T,東京インキ,2173.0,99.0,96.4,0.24,0.62,5.7,66.9,ブレイク待ち
JP,4722.T,フューチャー,2446.0,99.0,97.5,0.03,0.35,-0.0,50.0,ブレイク待ち
JP,4746.T,東計電算,6960.0,99.0,91.1,0.29,0.6,4.1,67.6,ブレイク待ち
JP,5243.T,ｎｏｔｅ,2977.0,99.0,81.0,0.55,0.62,13.1,67.5,ブレイク待ち
JP,5575.T,Ｇｌｏｂｅｅ,1121.0,99.0,70.4,0.42,0.85,-3.7,50.1,ブレイク待ち
JP,7480.T,スズデン,3390.0,99.0,88.5,0.31,0.67,-0.2,62.3,ブレイク待ち
JP,7803.T,ブシロード,437.0,99.0,90.1,0.43,0.81,6.4,60.7,ブレイク待ち
JP,7878.T,光・彩,1472.0,99.0,60.0,0.47,0.37,5.9,70.3,ブレイク待ち
JP,3544.T,サツドラホールディングス,1248.0,98.0,85.1,0.01,0.09,-0.0,58.3,ブレイク待ち
JP,3676.T,デジタルハーツホールディングス,1057.0,98.0,99.2,0.01,0.6,4.1,20.0,ブレイク待ち
JP,3753.T,フライトソリューションズ,221.0,98.0,68.6,0.45,0.48,-3.4,37.6,ブレイク待ち
JP,3989.T,シェアリングテクノロジー,1490.0,98.0,81.1,0.29,0.69,-0.8,50.0,ブレイク待ち
JP,4125.T,三和油化工業,3800.0,98.0,88.5,0.33,0.49,1.7,55.8,ブレイク待ち
