ticker,name,時価総額億円,PBR,PER,配当利回り%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
5852.T,アーレスティ,170,0.3,4.7,6.15,13.6,683.0,55.0,-1.0,-4.6,43.0,1.12
7991.T,マミヤ・オーピー,109,0.43,6.4,4.73,4.7,1056.0,16.0,-3.1,-3.3,41.0,0.44
6844.T,新電元工業,314,0.43,5.6,3.25,12.8,3080.0,26.0,-9.1,-11.4,39.8,0.77
7820.T,ニホンフラッシュ,163,0.51,0.5,5.01,14.1,718.0,27.0,0.3,-0.6,55.1,1.44
5280.T,ヨシコン,153,0.54,5.8,3.87,11.1,2194.0,25.0,-1.9,-0.6,33.5,0.88
4113.T,田岡化学工業,107,0.55,7.0,4.8,9.7,750.0,39.0,-0.4,0.5,49.6,0.61
8585.T,オリエントコーポレーション,1496,0.61,11.6,4.58,16.5,874.0,23.0,-1.2,-0.9,40.8,0.67
2700.T,木徳神糧,147,0.71,5.7,3.91,2.7,1790.0,23.0,2.9,1.4,60.5,0.63
2329.T,東北新社,671,0.79,9.6,5.55,7.5,488.0,7.0,-1.6,-7.5,39.1,2.72
4516.T,日本新薬,2472,0.84,8.3,3.38,17.1,3667.0,7.0,-0.8,-7.5,82.5,0.87
2415.T,ヒューマンホールディングス,165,0.85,7.4,4.09,15.0,1588.0,47.0,-0.4,0.7,32.5,0.38
6294.T,オカダアイヨン,157,0.88,10.5,3.84,5.7,1951.0,32.0,-1.5,-2.3,37.2,1.54
6322.T,タクミナ,110,0.97,8.9,3.4,16.8,1587.0,39.0,-0.5,-0.5,42.3,0.8
