ticker,name,時価総額億ドル,売上成長%,ROE%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
ADAM,"Adamas Trust, Inc.",8.8,129.8,16.4,84.4,9.75,56.0,-0.9,4.6,31.7,0.68
KALU,Kaiser Aluminum Corporation,26.8,52.7,26.4,71.8,164.19000244140625,20.0,-2.3,-4.8,31.2,0.85
QNST,"QuinStreet, Inc.",10.7,42.7,28.6,70.3,18.729999542236328,97.0,-3.3,17.4,36.4,1.13
EFC,"Ellington Financial, Inc.",17.7,33.8,12.2,77.1,13.470000267028809,34.0,-0.2,-0.3,44.1,0.87
DAVE,"Dave, Inc.",48.6,29.6,104.8,74.7,380.69000244140625,96.0,6.6,10.3,60.7,0.78
JOE,St. Joe Company,37.6,23.0,16.2,72.7,66.11000061035156,42.0,-1.8,2.4,42.8,0.85
NPK,"National Presto Industries, Inc.",10.5,21.7,10.9,84.4,147.72000122070312,64.0,1.9,11.3,55.2,1.03
BLFS,"BioLife Solutions, Inc.",17.2,21.5,12.8,85.9,35.25,88.0,-0.6,16.6,48.7,0.75
