date,market,ticker,name,high,close,change_pct
2026-08-18,JP,9101.T,日本郵船,6797.0,6784.0,4.53
2026-08-17,US,BAC,Bank of America,65.22,64.49,0.62
2026-08-17,US,BNY,BNY Mellon,165.68,163.24,0.61
2026-08-17,US,CFG,Citizens Financial Group,75.33,74.73,0.84
2026-08-17,US,CRL,Charles River Laboratories,288.88,280.05,-0.43
2026-08-17,US,EXPD,Expeditors International,189.99,186.12,-0.5
2026-08-17,US,EXPE,Expedia Group,335.0,332.69,1.33
2026-08-17,US,IVZ,Invesco,32.8,32.55,0.59
2026-08-17,US,LH,Labcorp,326.89,318.13,-1.38
2026-08-17,US,MPC,Marathon Petroleum,363.34,355.42,-0.27
2026-08-17,US,MRK,Merck & Co.,137.15,135.84,0.21
2026-08-17,US,MTB,M&T Bank,255.95,254.09,0.33
2026-08-17,US,PNC,PNC Financial Services,258.96,256.97,0.69
2026-08-17,US,PSX,Phillips 66,240.65,233.61,0.43
2026-08-17,US,SCHW,Charles Schwab Corporation,111.64,111.09,0.94
2026-08-17,US,STT,State Street Corporation,195.18,191.74,1.0
2026-08-17,US,TECH,Bio-Techne,72.62,72.4,0.32
2026-08-17,US,USB,U.S. Bancorp,66.07,65.42,0.38
2026-08-17,US,VLO,Valero Energy,350.55,341.67,-0.36
