ticker,name,時価総額億円,PBR,PER,配当利回り%,52週位置%,close,MA25乖離%,MA75乖離%,RSI14,出来高倍率
5852.T,アーレスティ,167,0.3,4.6,6.28,9.4,669.0,-5.2,-8.8,29.7,0.79
7991.T,マミヤ・オーピー,110,0.42,6.4,4.69,5.8,1067.0,-2.3,-4.2,34.9,1.01
5280.T,ヨシコン,150,0.53,5.8,3.89,10.2,2185.0,-3.8,-2.5,34.3,1.89
4113.T,田岡化学工業,104,0.53,6.8,4.98,6.7,723.0,-3.5,-5.3,24.5,0.56
9994.T,やまや,228,0.61,11.0,3.33,14.9,2103.0,1.3,-0.5,59.9,0.37
2700.T,木徳神糧,136,0.66,2.5,4.2,0.2,1668.0,-3.7,-6.1,34.7,0.98
9305.T,ヤマタネ,431,0.68,8.0,3.68,9.2,2039.0,-2.9,-0.0,39.8,1.28
2329.T,東北新社,687,0.8,9.9,5.42,1.3,499.0,-0.6,-7.5,50.0,0.62
9413.T,テレビ東京ホールディングス,890,0.84,11.5,3.0,4.6,3330.0,-6.5,-9.6,35.6,1.14
7377.T,ＤＮホールディングス,139,0.84,10.4,4.74,7.4,1687.0,-3.4,-7.1,30.4,2.56
6294.T,オカダアイヨン,156,0.87,10.5,3.86,4.2,1942.0,-3.0,-4.2,31.0,1.54
8877.T,エスリード,790,0.95,7.1,4.69,12.9,5120.0,-0.3,-0.8,43.5,0.65
