ticker,name,時価総額億円,PBR,PER,配当利回り%,52週位置%,close,MA25乖離%,MA75乖離%,RSI14,出来高倍率
5852.T,アーレスティ,168,0.3,4.7,6.23,10.9,674.0,-3.6,-7.2,35.2,0.59
7991.T,マミヤ・オーピー,111,0.43,6.5,4.63,7.1,1079.0,-1.3,-2.4,43.2,0.75
7820.T,ニホンフラッシュ,161,0.5,0.5,5.09,6.9,707.0,-1.6,-2.8,38.3,2.26
5280.T,ヨシコン,150,0.53,5.8,3.88,10.6,2189.0,-3.2,-1.7,33.4,0.93
4113.T,田岡化学工業,107,0.55,7.0,4.84,9.1,744.0,-0.9,-1.7,37.4,0.33
8585.T,オリエントコーポレーション,1496,0.61,11.6,4.58,16.5,874.0,-1.7,-2.0,41.6,0.56
2700.T,木徳神糧,145,0.7,2.6,3.96,2.2,1768.0,2.2,0.0,58.0,1.38
9305.T,ヤマタネ,444,0.71,8.2,3.57,13.8,2102.0,0.2,3.0,48.0,1.58
2329.T,東北新社,674,0.79,9.7,5.52,2.1,490.0,-1.8,-8.5,26.3,2.48
4516.T,日本新薬,2453,0.83,8.3,3.41,16.4,3640.0,-3.7,-10.0,27.1,0.97
2415.T,ヒューマンホールディングス,165,0.85,7.4,4.09,15.3,1590.0,-0.0,0.7,60.0,0.55
6294.T,オカダアイヨン,157,0.88,10.5,3.86,4.6,1944.0,-2.5,-3.6,35.3,2.19
9057.T,遠州トラック,238,0.96,10.6,3.01,15.9,3190.0,0.1,-0.0,54.6,1.19
6322.T,タクミナ,109,0.97,8.9,3.41,15.5,1582.0,-1.2,-0.8,35.1,0.64
