ticker,name,時価総額億円,売上成長%,ROE%,52週位置%,close,MA25乖離%,MA75乖離%,RSI14,出来高倍率
6862.T,ミナトホールディングス,281,343.4,60.8,89.2,3800.0,75.4,62.4,86.3,2.28
8918.T,ランド,169,203.9,10.2,75.0,11.0,7.8,8.4,50.0,1.07
3454.T,ファーストブラザーズ,178,121.3,14.9,92.4,1272.0,0.8,4.9,51.0,0.28
3490.T,アズ企画設計,48,101.2,14.2,79.8,3185.0,3.0,8.4,83.7,0.85
3131.T,シンデン・ハイテックス,130,100.4,11.7,97.1,6880.0,65.2,87.9,85.3,3.59
4415.T,ブロードエンタープライズ,85,88.1,34.5,75.4,1387.0,1.9,8.4,58.8,3.54
4937.T,Ｗａｑｏｏ,72,88.0,22.0,88.7,2030.0,27.8,32.1,77.9,7.9
7175.T,今村証券,88,80.6,11.3,80.4,1717.0,5.3,18.9,49.6,0.64
7213.T,レシップホールディングス,104,73.6,21.2,97.9,670.0,7.0,14.8,74.1,1.63
6570.T,共和コーポレーション,185,69.5,25.5,94.0,3095.0,41.9,70.0,88.9,6.26
4125.T,三和油化工業,175,61.7,10.0,98.3,4050.0,16.9,27.5,64.8,1.66
6267.T,ゼネラルパッカー,68,60.4,12.9,71.8,4020.0,1.3,5.8,50.0,0.72
3374.T,内外テック,156,60.0,10.4,92.6,4455.0,27.9,38.9,72.8,2.17
8704.T,トレイダーズホールディングス,356,58.6,24.3,96.6,1351.0,5.5,12.4,60.9,0.74
3934.T,ベネフィットジャパン,139,53.6,13.5,78.8,2355.0,6.0,6.5,70.1,2.13
3723.T,日本ファルコム,286,53.2,15.7,92.4,2903.0,8.0,15.9,67.3,3.4
8700.T,丸八証券,78,51.8,12.3,79.4,1964.0,1.4,8.4,46.2,1.35
7480.T,スズデン,432,47.7,12.3,90.4,3410.0,25.5,47.6,74.6,1.35
2180.T,サニーサイドアップグループ,194,46.9,33.2,98.4,1307.0,-0.0,3.1,50.0,0.11
4493.T,サイバーセキュリティクラウド,200,42.2,22.1,76.7,1981.0,6.7,12.6,74.4,0.92
6144.T,西部電機,473,41.1,12.4,78.9,3150.0,5.9,8.2,67.1,0.67
8996.T,ハウスフリーダム,42,38.8,25.4,91.4,1104.0,6.1,9.5,72.5,1.92
7089.T,フォースタートアップス,103,38.3,27.5,83.0,1600.0,0.2,4.5,52.4,2.18
4629.T,大伸化学,98,38.0,8.4,87.2,2150.0,10.8,11.7,69.5,3.08
8596.T,九州リースサービス,376,31.8,9.7,96.1,1664.0,8.5,13.6,74.7,1.13
4255.T,ＴＨＥＣＯＯ,78,31.1,58.6,100.0,3720.0,45.2,53.1,93.3,6.13
1724.T,シンクレイヤ,32,30.8,25.2,71.6,721.0,4.3,3.3,73.1,1.74
6863.T,ニレコ,71,29.0,8.9,90.6,992.0,8.1,13.7,59.5,1.15
4441.T,トビラシステムズ,151,27.0,23.3,70.4,1461.0,-6.5,5.6,24.2,0.73
4258.T,網屋,384,26.8,37.6,83.2,4675.0,4.7,25.9,62.5,1.24
2597.T,ユニカフェ,156,26.6,11.0,90.8,1164.0,1.1,5.3,74.1,1.37
9344.T,アクシスコンサルティング,49,26.4,17.2,100.0,989.0,5.9,5.7,84.5,1.07
7565.T,萬世電機,130,26.0,9.1,100.0,8000.0,14.4,24.7,96.4,1.03
6138.T,ダイジェット工業,59,25.2,11.9,92.8,1985.0,55.8,71.5,84.6,7.05
3422.T,Ｊ－ＭＡＸ,76,25.0,9.7,84.8,666.0,28.0,36.7,78.8,8.49
5575.T,Ｇｌｏｂｅｅ,60,24.9,32.0,98.5,1233.0,23.6,57.5,71.0,0.76
6912.T,菊水ホールディングス,201,24.9,12.6,75.9,2409.0,14.4,12.9,73.3,1.11
2788.T,アップルインターナショナル,52,24.5,12.3,87.8,400.0,2.1,7.5,62.9,2.25
3467.T,アグレ都市デザイン,165,24.2,24.4,96.1,2864.0,4.4,11.7,61.2,1.01
7608.T,エスケイジャパン,139,23.5,22.2,73.0,831.0,4.8,7.4,62.3,0.97
9908.T,日本電計,311,23.4,12.8,92.6,2740.0,3.0,6.9,61.7,1.66
4994.T,大成ラミックグループ,169,22.6,8.6,92.9,2780.0,9.1,16.8,84.8,1.21
7185.T,ヒロセ通商,242,21.6,10.9,70.5,3930.0,0.8,3.0,63.0,1.07
7133.T,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ,94,20.4,19.6,89.4,1318.0,7.5,20.3,76.7,1.49
7217.T,テイン,44,20.0,8.3,87.0,453.0,5.3,5.5,63.1,4.6
