market,ticker,name,close,RS%,52週位置%,ボラ収縮,出来高倍率,MA25乖離%,RSI14,タイプ
JP,3131.T,シンデン・ハイテックス,6080.0,100.0,75.7,0.98,1.26,28.5,71.7,PEAD
JP,6027.T,弁護士ドットコム,4475.0,100.0,96.7,0.93,3.83,61.4,83.0,PEAD
JP,6138.T,ダイジェット工業,2083.0,100.0,91.3,0.95,1.78,44.0,89.0,PEAD
JP,6522.T,アスタリスク,2008.0,100.0,74.5,0.46,0.59,16.9,64.6,PEAD
JP,6570.T,共和コーポレーション,3880.0,100.0,96.4,0.84,5.21,55.1,88.7,PEAD
JP,3054.T,ハイパー,370.0,99.0,94.0,0.96,5.16,42.0,90.6,PEAD
JP,3187.T,ミラタップ,371.0,99.0,75.6,0.64,2.63,10.2,63.3,PEAD
JP,3763.T,プロシップ,2468.0,99.0,96.2,0.83,2.78,26.4,76.7,PEAD
JP,3976.T,シャノン,717.0,99.0,92.4,0.8,4.06,21.2,70.0,PEAD
JP,4937.T,Ｗａｑｏｏ,2457.0,99.0,100.0,0.96,2.15,40.0,90.1,PEAD
JP,5027.T,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,803.0,99.0,94.3,0.73,2.89,33.4,84.2,PEAD
JP,5142.T,アキレス,1982.0,99.0,94.7,0.86,1.84,30.4,86.9,PEAD
JP,6998.T,日本タングステン,3180.0,99.0,86.9,1.0,1.66,28.9,77.1,PEAD
JP,9166.T,ＧＥＮＤＡ,748.0,99.0,56.8,0.78,1.15,15.8,69.8,PEAD
JP,3633.T,ＧＭＯペパボ,2404.0,98.0,75.8,0.85,5.64,27.0,88.2,PEAD
JP,4125.T,三和油化工業,3820.0,98.0,89.2,0.67,0.52,7.4,68.9,PEAD
JP,4234.T,サンエー化研,975.0,98.0,89.3,0.91,2.64,21.3,82.1,PEAD
JP,7832.T,バンダイナムコホールディングス,5484.0,98.0,93.3,0.76,0.82,14.2,72.1,PEAD
JP,9722.T,藤田観光,2651.0,98.0,83.5,0.82,1.4,24.5,82.4,PEAD
JP,2477.T,手間いらず,3090.0,97.0,77.0,0.85,1.05,18.9,84.5,PEAD
JP,2489.T,アドウェイズ,380.0,97.0,89.4,0.67,0.93,14.5,74.0,PEAD
JP,3034.T,クオールホールディングス,2510.0,97.0,85.1,0.74,1.13,11.6,72.4,PEAD
JP,4255.T,ＴＨＥＣＯＯ,3530.0,97.0,87.8,0.93,3.75,25.9,81.3,PEAD
JP,5951.T,ダイニチ工業,1252.0,97.0,79.0,0.79,2.37,12.8,70.4,PEAD
JP,6523.T,ＰＨＣホールディングス,1473.0,97.0,95.7,0.92,1.82,21.0,82.1,PEAD
JP,6869.T,シスメックス,1976.5,97.0,96.9,0.78,0.73,15.1,76.9,PEAD
JP,3422.T,Ｊ－ＭＡＸ,627.0,96.0,74.7,0.97,1.23,13.4,71.0,PEAD
JP,3660.T,アイスタイル,533.0,96.0,53.9,0.78,3.69,17.6,69.0,PEAD
JP,3937.T,Ｕｂｉｃｏｍホールディングス,1293.0,96.0,94.8,0.79,2.65,20.8,88.2,PEAD
JP,4180.T,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,1305.0,96.0,59.4,0.8,2.47,28.0,88.8,PEAD
JP,4396.T,システムサポートホールディングス,1394.0,96.0,57.1,0.72,1.15,16.2,80.4,PEAD
JP,5985.T,サンコール,2500.0,96.0,97.7,1.0,1.83,53.9,90.5,PEAD
JP,6340.T,澁谷工業,5140.0,96.0,80.0,0.81,1.09,11.7,69.8,PEAD
JP,7681.T,レオクラン,1043.0,96.0,55.3,0.44,2.31,7.5,72.9,PEAD
