ticker,name,時価総額億ドル,売上成長%,ROE%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
INSW,"International Seaways, Inc.",49.3,140.1,37.4,95.3,99.5199966430664,69.0,6.1,14.3,59.6,0.86
ADAM,"Adamas Trust, Inc.",8.9,129.8,16.4,89.3,9.9399995803833,60.0,5.2,8.1,66.0,0.89
LPG,Dorian LPG Ltd.,21.9,124.0,28.3,96.6,51.130001068115234,59.0,11.6,20.3,65.8,0.84
PARR,"Par Pacific Holdings, Inc.",39.6,56.8,53.5,86.5,79.02999877929688,89.0,1.1,20.3,46.3,0.84
CVI,"CVR Energy, Inc.",39.7,55.5,24.3,90.2,39.5099983215332,80.0,14.1,21.3,74.1,0.88
KALU,Kaiser Aluminum Corporation,25.2,52.7,26.4,63.9,154.16000366210938,14.0,-9.1,-11.7,45.0,0.99
QNST,"QuinStreet, Inc.",11.8,42.7,28.6,86.1,20.6200008392334,99.0,14.9,37.6,73.0,0.9
MTRN,Materion Corp.,48.3,42.2,9.5,63.1,231.9600067138672,56.0,-7.6,-4.4,54.8,0.82
EFC,"Ellington Financial, Inc.",17.9,33.8,12.2,82.7,13.630000114440918,32.0,1.1,0.9,61.5,0.66
HRMY,"Harmony Biosciences Holdings, Inc.",22.2,30.3,20.5,82.3,38.150001525878906,82.0,2.2,10.0,61.3,0.72
DAVE,"Dave, Inc.",45.2,29.6,104.8,66.2,354.7200012207031,94.0,-4.7,8.0,40.5,0.76
CXW,CoreCivic,33.6,27.3,8.8,95.6,34.0099983215332,97.0,6.7,22.2,65.7,1.1
JOE,St. Joe Company,39.2,23.0,16.2,82.9,68.88999938964844,49.0,5.7,7.4,69.5,0.77
KAI,Kadant Inc.,37.0,22.6,11.3,62.8,313.4100036621094,36.0,-2.1,0.1,41.8,0.88
NPK,"National Presto Industries, Inc.",10.7,21.7,10.9,92.3,149.9499969482422,69.0,12.1,14.2,81.2,0.86
BLFS,"BioLife Solutions, Inc.",18.1,21.5,12.8,95.1,37.099998474121094,94.0,11.9,31.2,89.1,0.53
