ticker,name,時価総額億円,売上成長%,ROE%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
6862.T,ミナトホールディングス,321.1,343.4,60.8,90.3,4310.0,100.0,17.8,65.6,66.0,0.86
3454.T,ファーストブラザーズ,177.0,121.3,14.9,78.9,1262.0,52.0,-0.7,1.9,37.4,0.65
3131.T,シンデン・ハイテックス,119.0,100.4,11.7,80.7,6310.0,99.0,1.9,39.8,57.6,0.76
4937.T,Ｗａｑｏｏ,85.4,88.0,22.0,92.2,2397.0,98.0,5.4,35.4,44.4,0.47
4415.T,ブロードエンタープライズ,85.9,87.4,38.8,72.9,1398.0,85.0,1.0,6.5,76.2,0.53
7175.T,今村証券,100.2,80.6,11.3,92.1,1958.0,97.0,5.0,22.9,52.0,0.58
7213.T,レシップホールディングス,100.9,73.6,21.2,88.0,662.0,82.0,-0.7,6.6,41.3,0.87
4125.T,三和油化工業,151.6,61.7,10.0,77.3,3510.0,94.0,-7.1,5.8,36.2,0.6
3374.T,内外テック,136.4,60.0,10.4,71.6,3900.0,94.0,-5.5,10.4,44.5,0.55
8704.T,トレイダーズホールディングス,370.6,58.6,24.3,91.5,1405.0,87.0,2.7,11.1,58.9,0.95
3723.T,日本ファルコム,255.5,53.2,15.7,73.9,2589.0,71.0,-6.9,-1.8,2.7,0.84
8700.T,丸八証券,78.1,51.8,12.3,79.7,2093.0,86.0,3.0,10.7,62.4,0.3
7480.T,スズデン,440.0,47.7,12.3,92.5,3470.0,98.0,1.7,28.1,48.4,0.7
7695.T,交換できるくん,68.9,47.3,13.0,87.5,922.0,92.0,6.3,18.2,63.1,0.55
5136.T,ｔｒｉｐｌａ,120.2,44.4,36.2,76.9,2025.0,97.0,5.0,14.2,59.5,0.62
8996.T,ハウスフリーダム,41.4,38.8,25.4,77.2,1079.0,75.0,-1.6,4.6,39.2,0.58
4629.T,大伸化学,113.9,38.0,8.4,88.3,2490.0,94.0,12.0,24.6,80.6,1.77
4441.T,トビラシステムズ,155.5,37.0,22.5,76.5,1509.0,85.0,1.7,5.1,55.9,1.7
6599.T,エブレン,56.8,30.3,8.5,86.0,3765.0,91.0,9.0,17.1,67.6,1.77
6863.T,ニレコ,211.5,29.0,8.9,89.0,985.0,76.0,1.3,6.2,59.0,0.63
7133.T,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ,93.4,27.2,24.3,89.6,1310.0,91.0,0.8,11.6,56.4,1.01
9344.T,アクシスコンサルティング,64.3,26.4,17.2,78.8,1292.0,95.0,5.3,24.9,48.6,1.46
4255.T,ＴＨＥＣＯＯ,74.1,26.1,68.1,86.8,3500.0,96.0,1.9,25.8,53.0,0.55
7565.T,萬世電機,134.9,26.0,9.1,83.6,8310.0,95.0,2.2,19.1,62.0,1.13
6138.T,ダイジェット工業,58.3,25.2,11.9,82.4,1963.0,99.0,-0.4,39.3,28.2,0.44
4440.T,ヴィッツ,104.9,25.1,17.1,78.5,2624.0,100.0,73.9,109.9,76.0,5.45
5575.T,Ｇｌｏｂｅｅ,55.0,24.9,32.0,72.1,1134.0,99.0,-3.4,25.3,35.3,0.34
6912.T,菊水ホールディングス,202.2,24.9,12.6,77.5,2428.0,89.0,0.1,12.0,52.8,0.75
7608.T,エスケイジャパン,147.3,23.5,22.2,83.6,878.0,87.0,4.0,11.1,64.3,1.66
9908.T,日本電計,317.2,23.4,12.8,77.9,2794.0,79.0,0.7,5.7,58.7,0.86
3277.T,サンセイランディック,132.4,23.3,10.2,74.7,814.0,92.0,1.2,17.3,55.6,0.36
4994.T,大成ラミックグループ,165.5,22.6,8.6,73.8,2727.0,88.0,-2.2,8.2,33.6,0.8
4445.T,リビン・テクノロジーズ,45.7,22.4,11.0,83.6,1922.0,90.0,1.9,13.3,60.8,1.47
7185.T,ヒロセ通商,241.5,21.6,10.9,73.4,3925.0,51.0,-0.0,1.8,50.0,1.45
1770.T,藤田エンジニアリング,208.3,21.0,9.7,88.1,2268.0,92.0,7.4,12.7,70.0,1.37
4258.T,網屋,394.0,20.5,35.2,87.2,4890.0,98.0,7.3,18.7,59.8,1.38
7217.T,テイン,43.9,20.0,8.3,81.5,447.0,58.0,-1.8,3.0,42.6,0.61
