ticker,name,時価総額億ドル,売上成長%,ROE%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
ADAM,"Adamas Trust, Inc.",8.0,129.8,16.4,62.9,8.90999984741211,49.0,-7.3,-4.5,15.0,1.57
LTC,"LTC Properties, Inc.",22.9,65.5,11.8,89.6,42.560001373291016,85.0,2.7,7.1,63.6,1.44
WHD,"Cactus, Inc.",46.5,64.3,13.1,81.9,66.68000030517578,88.0,-4.3,8.4,41.0,1.4
KALU,Kaiser Aluminum Corporation,24.5,52.7,26.4,60.8,150.1300048828125,18.0,-5.8,-11.4,43.2,0.95
QNST,"QuinStreet, Inc.",10.0,42.7,28.6,60.5,17.549999237060547,94.0,-8.5,5.4,30.5,1.16
HRMY,"Harmony Biosciences Holdings, Inc.",24.5,30.3,20.5,91.8,42.02000045776367,91.0,3.8,12.7,66.4,1.82
DAVE,"Dave, Inc.",43.1,29.6,104.8,60.6,337.82000732421875,72.0,-5.8,-5.5,39.2,0.74
CXW,CoreCivic,34.8,27.3,8.8,93.7,35.22999954223633,88.0,3.9,13.0,58.8,1.44
JOE,St. Joe Company,36.3,23.0,16.2,64.3,63.84000015258789,47.0,-4.0,-1.2,31.9,1.97
NPK,"National Presto Industries, Inc.",10.6,21.7,10.9,85.7,148.5800018310547,80.0,-0.8,10.0,43.5,1.6
BLFS,"BioLife Solutions, Inc.",17.9,21.5,12.8,93.0,36.689998626708984,96.0,1.7,16.5,52.3,0.78
RELY,Remitly,46.4,20.2,32.2,64.0,21.93000030517578,64.0,-11.7,-5.7,24.6,1.36
