market,ticker,name,close,RS%,52週位置%,ボラ収縮,出来高倍率,MA25乖離%,RSI14,タイプ
JP,3787.T,テクノマセマティカル,676.0,100.0,78.3,0.87,6.36,60.6,85.7,PEAD
JP,4052.T,フィーチャ,1016.0,100.0,56.8,0.8,1.65,26.9,58.2,PEAD
JP,6904.T,原田工業,885.0,100.0,96.9,0.77,5.0,43.9,93.0,PEAD
JP,8995.T,誠建設工業,1951.0,100.0,54.5,0.7,1.67,6.5,55.9,PEAD
JP,9082.T,大和自動車交通,2674.0,100.0,72.1,0.7,5.12,24.7,64.5,PEAD
JP,2612.T,かどや製油,2870.0,99.0,99.3,0.95,6.3,28.1,82.3,PEAD
JP,3187.T,ミラタップ,409.0,99.0,75.1,0.52,0.7,8.5,69.9,PEAD
JP,4075.T,ブレインズテクノロジー,1458.0,99.0,51.5,0.94,6.06,20.0,49.4,PEAD
JP,4417.T,グローバルセキュリティエキスパート,5400.0,99.0,85.8,0.74,1.35,13.2,68.1,PEAD
JP,4933.T,Ｉ－ｎｅ,2284.0,99.0,89.3,0.81,5.63,40.6,84.2,PEAD
JP,6191.T,エアトリ,1481.0,99.0,74.1,0.99,2.98,41.2,80.1,PEAD
JP,8848.T,レオパレス２１,1030.0,99.0,93.5,0.96,5.94,41.8,89.1,PEAD
JP,4073.T,ジィ・シィ企画,637.0,98.0,66.6,0.87,5.52,26.2,82.3,PEAD
JP,4667.T,アイサンテクノロジー,3310.0,98.0,70.1,0.82,0.85,12.9,52.3,PEAD
JP,5256.T,Ｆｕｓｉｃ,3535.0,98.0,78.5,0.73,4.36,29.1,84.4,PEAD
JP,6977.T,日本抵抗器製作所,1893.0,98.0,73.8,0.62,5.1,28.8,77.9,PEAD
JP,7475.T,アルビス,3765.0,98.0,99.3,0.97,2.33,26.0,97.7,PEAD
JP,1783.T,ｆａｎｔａｓｉｓｔａ,74.0,97.0,82.4,0.97,2.05,25.3,73.6,PEAD
JP,2962.T,テクニスコ,2184.0,97.0,89.6,0.72,1.67,26.3,78.9,PEAD
JP,3624.T,アクセルマーク,89.0,97.0,56.2,0.57,0.92,2.0,54.3,PEAD
JP,6203.T,豊和工業,2318.0,96.0,62.3,0.9,1.76,21.7,63.9,PEAD
JP,6317.T,北川鉄工所,2550.0,96.0,94.4,0.93,3.33,28.2,86.5,PEAD
JP,4174.T,アピリッツ,1001.0,95.0,58.8,0.72,3.5,9.2,67.5,PEAD
JP,4762.T,エックスネット,2165.0,94.0,74.4,0.46,1.75,0.9,53.0,PEAD
JP,5136.T,ｔｒｉｐｌａ,2410.0,94.0,97.0,0.68,2.32,17.2,83.2,PEAD
JP,5542.T,新報国マテリアル,1121.0,94.0,73.4,0.78,7.35,15.0,67.5,PEAD
JP,4892.T,サイフューズ,690.0,93.0,73.3,0.73,2.14,13.7,82.7,PEAD
JP,9127.T,玉井商船,3710.0,93.0,58.7,0.45,0.97,8.0,63.9,PEAD
JP,2929.T,ファーマフーズ,718.0,92.0,59.9,0.82,1.96,11.3,75.5,PEAD
JP,3306.T,日本製麻,794.0,92.0,57.0,0.73,1.8,18.7,69.4,PEAD
JP,6277.T,ホソカワミクロン,6680.0,92.0,88.0,0.75,2.36,19.6,90.1,PEAD
JP,8247.T,大和,370.0,92.0,79.6,0.75,2.1,14.5,63.6,PEAD
JP,4387.T,ＺＵＵ,610.0,91.0,62.0,0.72,3.04,15.2,68.6,PEAD
JP,7883.T,サンメッセ,485.0,88.0,100.0,0.78,6.25,19.9,92.1,PEAD
JP,3560.T,ほぼ日,5200.0,87.0,98.7,0.85,2.45,16.6,79.2,PEAD
JP,7811.T,中本パックス,2329.0,87.0,97.5,0.85,2.12,14.3,86.6,PEAD
JP,7256.T,河西工業,565.0,84.0,99.2,0.84,2.06,28.0,83.6,PEAD
JP,7721.T,東京計器,7580.0,84.0,61.9,0.7,1.1,7.3,64.4,PEAD
JP,3766.T,システムズ・デザイン,1501.0,75.0,82.9,0.68,3.42,4.2,64.8,PEAD
JP,3652.T,ディジタルメディアプロフェッショナル,3070.0,66.0,56.9,0.75,2.85,19.2,72.9,PEAD
