date,market,ticker,name,high,close,change_pct
2026-09-04,JP,9101.T,日本郵船,7440.0,7158.0,-1.78
2026-09-03,US,BIIB,Biogen,225.8,224.51,0.83
2026-09-03,US,COP,ConocoPhillips,137.42,135.72,-1.08
2026-09-03,US,CPAY,Corpay,427.46,419.68,0.79
2026-09-03,US,DE,Deere & Company,705.88,694.41,-0.57
2026-09-03,US,DELL,Dell Technologies,530.78,516.39,4.91
2026-09-03,US,GEN,Gen Digital,31.65,31.33,2.22
2026-09-03,US,IQV,IQVIA,271.71,271.62,2.95
2026-09-03,US,MPC,Marathon Petroleum,398.52,387.71,0.18
2026-09-03,US,PFE,Pfizer,29.21,28.81,-0.72
2026-09-03,US,PFG,Principal Financial Group,121.18,118.51,6.47
2026-09-03,US,PSX,Phillips 66,260.68,254.66,-0.56
2026-09-03,US,REGN,Regeneron Pharmaceuticals,859.34,843.47,-1.0
2026-09-03,US,RVTY,Revvity,133.0,130.63,-0.24
2026-09-03,US,VLO,Valero Energy,375.11,370.69,1.26
2026-09-03,US,VRTX,Vertex Pharmaceuticals,560.25,557.96,0.22
