market,ticker,name,close,RS%,52週位置%,ボラ収縮,出来高倍率,MA25乖離%,RSI14,タイプ
JP,5027.T,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,829.0,100.0,96.2,0.71,1.46,28.9,84.0,PEAD
JP,5242.T,アイズ,2704.0,100.0,79.0,0.38,0.53,24.4,68.1,PEAD
JP,6027.T,弁護士ドットコム,5140.0,100.0,92.9,0.92,2.79,62.2,80.6,PEAD
JP,6522.T,アスタリスク,2567.0,100.0,99.4,0.59,0.97,39.5,81.9,PEAD
JP,6570.T,共和コーポレーション,3715.0,100.0,78.1,0.84,4.73,31.5,76.1,PEAD
JP,3054.T,ハイパー,365.0,99.0,90.7,0.96,0.76,30.5,85.2,PEAD
JP,3633.T,ＧＭＯペパボ,2600.0,99.0,93.3,0.87,1.68,29.1,90.9,PEAD
JP,6045.T,レントラックス,2394.0,99.0,89.1,0.8,3.77,30.0,81.5,PEAD
JP,3187.T,ミラタップ,360.0,98.0,70.1,0.64,0.69,5.2,61.0,PEAD
JP,3660.T,アイスタイル,531.0,98.0,59.1,0.7,1.34,12.6,70.2,PEAD
JP,4255.T,ＴＨＥＣＯＯ,3550.0,98.0,88.5,0.9,1.01,19.5,76.9,PEAD
JP,6862.T,ミナトホールディングス,3335.0,98.0,74.1,0.99,0.72,21.2,67.7,PEAD
JP,3763.T,プロシップ,2259.0,97.0,78.2,0.79,1.22,10.9,64.9,PEAD
JP,4180.T,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,1299.0,97.0,58.9,0.66,1.06,20.1,79.7,PEAD
JP,9166.T,ＧＥＮＤＡ,775.0,97.0,62.0,0.75,0.96,14.7,74.4,PEAD
JP,9344.T,アクシスコンサルティング,1321.0,97.0,84.1,1.0,1.66,24.8,75.2,PEAD
JP,4377.T,ワンキャリア,2551.0,96.0,73.2,0.68,0.91,14.0,71.6,PEAD
JP,4082.T,第一稀元素化学工業,3000.0,95.0,62.4,0.99,5.82,51.8,82.8,PEAD
JP,9552.T,クオンツ総研ホールディングス,1085.0,95.0,61.7,0.72,1.22,9.8,67.2,PEAD
JP,3937.T,Ｕｂｉｃｏｍホールディングス,1232.0,94.0,79.7,0.79,2.04,11.1,75.7,PEAD
JP,5537.T,ＡｌｂａＬｉｎｋ,3285.0,94.0,83.1,0.76,2.03,10.9,56.7,PEAD
JP,4691.T,ワシントンホテル,2351.0,93.0,58.8,0.29,1.26,6.4,55.6,PEAD
JP,5029.T,サークレイス,940.0,93.0,61.5,0.76,3.58,19.2,67.5,PEAD
JP,6647.T,森尾電機,3365.0,93.0,74.8,0.9,4.65,9.4,68.0,PEAD
JP,4286.T,ＣＬホールディングス,1380.0,92.0,100.0,0.9,3.24,16.8,76.4,PEAD
JP,5724.T,アサカ理研,3505.0,92.0,53.8,1.0,4.87,30.6,80.4,PEAD
JP,5951.T,ダイニチ工業,1215.0,90.0,72.4,0.8,1.11,6.7,63.4,PEAD
JP,6904.T,原田工業,553.0,90.0,83.7,0.94,1.05,12.1,78.5,PEAD
JP,8070.T,東京産業,974.0,90.0,56.8,0.8,1.61,10.4,80.7,PEAD
JP,2120.T,ＬＩＦＵＬＬ,236.0,89.0,85.9,0.77,1.34,8.0,70.8,PEAD
JP,3778.T,さくらインターネット,3655.0,89.0,63.5,0.83,0.91,6.9,53.4,PEAD
JP,4020.T,ビートレンド,842.0,89.0,70.7,0.77,1.22,13.8,93.8,PEAD
