ticker,name,時価総額億ドル,売上成長%,ROE%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
INSW,"International Seaways, Inc.",49.2,140.1,37.4,98.0,99.36000061035156,68.0,6.5,14.3,56.9,0.81
ADAM,"Adamas Trust, Inc.",8.9,129.8,16.4,89.0,9.930000305175781,61.0,5.5,8.2,72.4,0.86
LPG,Dorian LPG Ltd.,21.2,124.0,28.3,96.6,49.650001525878906,42.0,9.3,17.2,56.8,0.72
PARR,"Par Pacific Holdings, Inc.",36.3,56.8,53.5,75.4,72.44999694824219,76.0,-7.2,10.5,36.2,0.84
CVI,"CVR Energy, Inc.",36.0,55.5,24.3,73.5,35.83000183105469,49.0,4.0,10.2,50.8,0.65
KALU,Kaiser Aluminum Corporation,24.7,52.7,26.4,61.6,151.14999389648438,13.0,-11.0,-13.6,45.6,0.95
QNST,"QuinStreet, Inc.",11.7,42.7,28.6,84.0,20.3700008392334,98.0,14.5,36.7,72.7,0.84
MTRN,Materion Corp.,48.5,42.2,9.5,63.5,232.72000122070312,64.0,-7.5,-3.9,55.7,0.82
EFC,"Ellington Financial, Inc.",17.9,33.8,12.2,82.4,13.619999885559082,33.0,1.1,0.8,62.7,0.72
HRMY,"Harmony Biosciences Holdings, Inc.",22.2,30.3,20.5,81.8,38.06999969482422,79.0,2.5,10.0,62.2,0.72
COCO,The Vita Coco Company,37.7,28.1,31.4,60.8,65.16999816894531,9.0,-2.7,-10.1,48.1,0.67
CXW,CoreCivic,33.1,27.3,8.8,92.9,33.5099983215332,96.0,5.6,21.2,65.4,1.1
JOE,St. Joe Company,39.2,23.0,16.2,82.6,68.80999755859375,47.0,6.1,7.3,73.1,0.78
KAI,Kadant Inc.,37.1,22.6,11.3,63.4,314.05999755859375,35.0,-1.9,0.4,53.9,0.84
NPK,"National Presto Industries, Inc.",10.8,21.7,10.9,93.5,150.7100067138672,44.0,13.6,14.9,89.7,0.82
BLFS,"BioLife Solutions, Inc.",18.1,21.5,12.8,94.4,36.970001220703125,96.0,12.6,31.7,90.2,0.48
