ticker,name,時価総額億円,売上成長%,ROE%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
6862.T,ミナトホールディングス,386.0,343.4,60.8,100.0,5180.0,100.0,30.9,88.1,75.9,0.75
3454.T,ファーストブラザーズ,175.7,121.3,14.9,73.9,1253.0,52.0,-1.3,0.9,22.9,0.42
9236.T,ジャパンＭ＆Ａソリューション,20.5,106.4,11.3,88.4,1385.0,95.0,1.4,18.6,43.3,1.78
3131.T,シンデン・ハイテックス,135.9,100.4,11.7,97.9,7210.0,100.0,13.5,53.1,67.1,0.82
4937.T,Ｗａｑｏｏ,85.4,88.0,22.0,92.1,2398.0,98.0,1.4,31.3,51.6,0.29
7175.T,今村証券,111.6,80.6,11.3,96.7,2182.0,98.0,12.8,33.0,70.9,2.26
7213.T,レシップホールディングス,99.9,73.6,21.2,89.6,666.0,76.0,-0.8,6.2,38.8,0.8
4125.T,三和油化工業,156.6,61.7,10.0,81.7,3625.0,86.0,-2.5,7.2,43.4,0.39
5136.T,ｔｒｉｐｌａ,138.7,60.0,41.4,96.2,2336.0,94.0,15.7,28.1,68.8,3.81
3374.T,内外テック,142.7,60.0,10.4,78.4,4080.0,78.0,0.1,13.5,43.8,0.5
8704.T,トレイダーズホールディングス,371.4,58.6,24.3,92.0,1408.0,86.0,1.8,10.1,54.5,0.78
6549.T,ディーエムソリューションズ,61.5,57.3,20.6,74.2,1114.0,54.0,2.3,0.7,60.5,0.55
3723.T,日本ファルコム,275.8,53.2,15.7,85.7,2795.0,74.0,0.7,4.9,50.0,1.01
8700.T,丸八証券,77.8,51.8,12.3,78.4,2085.0,84.0,1.3,8.9,40.5,0.29
7480.T,スズデン,459.7,47.7,12.3,99.3,3625.0,98.0,5.3,29.2,54.3,0.58
7695.T,交換できるくん,70.7,47.3,13.0,95.8,946.0,95.0,4.5,19.6,64.2,0.27
4629.T,大伸化学,115.2,38.0,8.4,90.8,2518.0,90.0,8.8,23.5,69.9,1.4
4441.T,トビラシステムズ,154.3,37.0,22.5,74.9,1497.0,71.0,0.9,2.5,46.6,0.79
4379.T,Ｐｈｏｔｏｓｙｎｔｈ,78.2,32.3,10.1,85.0,506.0,89.0,14.3,21.9,72.6,3.82
6599.T,エブレン,61.4,30.3,8.5,97.3,4070.0,90.0,13.8,25.2,73.8,1.8
7050.T,フロンティアインターナショナル,139.7,30.2,17.2,74.1,1560.0,87.0,8.3,14.1,60.4,2.79
3538.T,ウイルプラスホールディングス,94.0,29.6,9.5,74.3,1034.0,77.0,1.4,7.9,55.0,0.69
6863.T,ニレコ,78.4,29.0,8.9,98.6,1096.0,88.0,11.3,16.9,70.1,2.09
7133.T,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ,94.9,27.2,24.3,93.4,1330.0,93.0,1.4,11.0,72.4,1.04
4124.T,大阪油化工業,25.1,26.4,9.8,81.7,2960.0,81.0,-0.0,7.7,50.9,0.67
4255.T,ＴＨＥＣＯＯ,75.5,26.1,68.1,89.0,3565.0,96.0,0.2,24.6,48.1,0.64
6138.T,ダイジェット工業,58.5,25.2,11.9,82.8,1969.0,99.0,-2.0,34.6,40.2,0.35
6912.T,菊水ホールディングス,219.5,24.9,12.6,95.4,2636.0,90.0,6.9,19.7,65.2,0.74
4771.T,エフアンドエム,418.6,24.6,21.3,77.3,2830.0,83.0,4.5,11.4,66.4,1.41
2788.T,アップルインターナショナル,53.8,24.5,12.3,75.2,416.0,76.0,1.3,6.6,42.7,2.9
7608.T,エスケイジャパン,156.4,23.5,22.2,96.5,932.0,90.0,8.6,16.4,80.3,1.1
9908.T,日本電計,334.9,23.4,12.8,93.5,2950.0,82.0,4.9,10.5,51.8,0.89
3277.T,サンセイランディック,134.8,23.3,10.2,80.4,829.0,93.0,1.4,17.2,58.9,0.46
4994.T,大成ラミックグループ,168.0,22.6,8.6,78.8,2767.0,83.0,-1.3,8.1,39.8,0.65
4445.T,リビン・テクノロジーズ,46.0,22.4,11.0,91.0,1940.0,91.0,1.7,12.4,58.0,0.87
1770.T,藤田エンジニアリング,211.3,21.0,9.7,91.2,2301.0,87.0,7.1,12.1,67.5,2.9
4258.T,網屋,463.3,20.5,35.2,97.5,5750.0,99.0,22.2,35.2,74.1,1.68
