ticker,name,時価総額億円,PBR,PER,配当利回り%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
5852.T,アーレスティ,167,0.3,4.7,6.26,10.2,671.0,14.0,-1.1,-3.3,26.8,0.62
6844.T,新電元工業,307,0.42,5.5,3.31,13.8,3020.0,3.0,-0.8,-10.8,39.5,0.57
6493.T,ＮＩＴＴＡＮ,141,0.44,6.3,4.1,13.7,488.0,37.0,-2.4,1.2,34.2,1.08
7820.T,ニホンフラッシュ,162,0.51,0.5,5.06,10.7,712.0,27.0,0.4,-0.2,56.4,0.49
8869.T,明和地所,190,0.51,5.0,4.93,11.7,811.0,35.0,-2.2,-0.6,27.8,0.81
4113.T,田岡化学工業,115,0.59,7.5,4.48,15.7,803.0,82.0,2.6,8.1,52.7,0.46
8585.T,オリエントコーポレーション,1464,0.6,11.4,4.68,11.2,855.0,31.0,-0.8,-1.4,43.8,0.91
9994.T,やまや,222,0.6,10.7,3.42,9.4,2045.0,31.0,-0.7,-0.7,40.6,0.52
5819.T,カナレ電気,120,0.61,10.1,4.06,11.2,1750.0,20.0,-0.2,-0.3,39.0,0.49
2918.T,わらべや日洋ホールディングス,470,0.79,8.8,4.42,14.2,2717.0,52.0,-2.7,0.3,33.3,0.51
7932.T,ニッピ,323,0.81,11.6,6.03,12.4,11540.0,24.0,-1.3,-2.3,29.0,0.77
2329.T,東北新社,693,0.82,10.0,5.37,15.2,504.0,14.0,1.1,-0.8,32.3,0.36
1964.T,中外炉工業,274,0.94,6.1,4.22,11.9,3930.0,19.0,-1.5,-1.9,39.8,0.51
