ticker,name,時価総額億ドル,売上成長%,ROE%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
INSW,"International Seaways, Inc.",48.9,140.1,37.4,94.1,98.80999755859375,86.0,3.6,12.7,66.7,0.87
ADAM,"Adamas Trust, Inc.",8.8,129.8,16.4,85.7,9.800000190734863,51.0,1.4,5.8,50.4,0.77
LPG,Dorian LPG Ltd.,21.3,124.0,28.3,91.8,49.779998779296875,83.0,6.2,15.4,67.7,0.66
WHD,"Cactus, Inc.",48.6,64.3,13.1,89.2,69.6500015258789,77.0,3.7,16.6,45.5,0.76
PARR,"Par Pacific Holdings, Inc.",39.5,56.8,53.5,85.1,78.8499984741211,93.0,1.5,18.5,58.9,0.81
CVI,"CVR Energy, Inc.",42.0,55.5,24.3,98.1,41.7599983215332,85.0,17.2,26.7,80.1,0.86
KALU,Kaiser Aluminum Corporation,25.6,52.7,26.4,65.7,156.3800048828125,13.0,-6.6,-9.6,26.5,0.69
QNST,"QuinStreet, Inc.",10.9,42.7,28.6,74.1,19.18000030517578,97.0,2.5,24.2,24.9,1.15
MTRN,Materion Corp.,49.5,42.2,9.5,66.0,237.74000549316406,53.0,-4.4,-3.0,27.4,0.68
EFC,"Ellington Financial, Inc.",17.8,33.8,12.2,80.6,13.569999694824219,36.0,0.4,0.4,56.2,0.79
HRMY,"Harmony Biosciences Holdings, Inc.",22.8,30.3,20.5,89.2,39.209999084472656,83.0,2.9,11.3,51.2,0.64
DAVE,"Dave, Inc.",48.3,29.6,104.8,74.0,378.54998779296875,90.0,4.9,12.5,79.8,0.6
CXW,CoreCivic,33.4,27.3,8.8,94.5,33.810001373291016,98.0,4.8,17.7,53.8,0.95
JOE,St. Joe Company,38.3,23.0,16.2,77.1,67.31999969482422,49.0,1.0,4.5,54.3,0.56
PRG,"PROG Holdings, Inc.",15.6,22.3,17.1,60.6,39.099998474121094,50.0,-7.1,-3.7,33.6,0.75
NPK,"National Presto Industries, Inc.",10.9,21.7,10.9,91.7,152.6199951171875,77.0,9.0,15.4,73.3,0.86
BLFS,"BioLife Solutions, Inc.",17.8,21.5,12.8,91.5,36.380001068115234,95.0,5.3,24.3,66.9,0.91
