date,market,ticker,name,high,close,change_pct
2026-09-16,US,CRWD,CrowdStrike,245.19,241.36,-0.47
2026-09-16,US,DELL,Dell Technologies,576.75,563.29,3.64
2026-09-16,US,FFIV,"F5, Inc.",435.45,423.59,-1.69
2026-09-16,US,FTNT,Fortinet,174.5,171.77,-0.35
2026-09-16,US,IQV,IQVIA,273.56,268.82,-0.32
2026-09-16,US,MPC,Marathon Petroleum,419.39,413.92,0.75
2026-09-16,US,PSX,Phillips 66,267.29,264.63,-0.11
2026-09-16,US,RVTY,Revvity,147.49,145.73,3.95
2026-09-16,US,TMO,Thermo Fisher Scientific,653.4,648.43,1.1
2026-09-16,US,VLO,Valero Energy,407.27,403.28,1.57
