ticker,name,時価総額億円,売上成長%,ROE%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
8918.T,ランド,169.2,203.9,10.2,75.0,11.0,66.0,4.6,7.4,60.0,1.06
3454.T,ファーストブラザーズ,175.3,121.3,14.9,72.2,1250.0,45.0,-1.6,1.1,42.2,0.67
3131.T,シンデン・ハイテックス,125.9,100.4,11.7,88.7,6680.0,99.0,11.3,51.9,58.1,0.89
5885.T,ジーデップ・アドバンス,193.3,92.3,24.6,87.8,3515.0,93.0,11.6,19.6,68.0,0.88
4415.T,ブロードエンタープライズ,85.8,87.4,38.8,74.4,1396.0,81.0,0.4,6.8,46.4,0.58
1436.T,グリーンエナジー＆カンパニー,230.2,80.7,9.2,78.3,1861.0,44.0,15.8,22.7,94.7,1.05
7175.T,今村証券,100.6,80.6,11.3,93.0,1967.0,97.0,7.5,25.4,69.4,0.8
7213.T,レシップホールディングス,101.1,73.6,21.2,88.4,663.0,82.0,0.2,7.2,59.3,0.67
6570.T,共和コーポレーション,218.3,69.5,25.5,76.1,3650.0,100.0,6.4,54.0,52.2,2.07
4125.T,三和油化工業,164.2,61.7,10.0,88.5,3800.0,97.0,1.7,16.0,55.8,0.49
3374.T,内外テック,143.3,60.0,10.4,79.0,4095.0,96.0,0.1,17.1,57.0,0.59
3723.T,日本ファルコム,265.2,53.2,15.7,79.5,2688.0,82.0,-3.8,2.4,36.1,0.61
8700.T,丸八証券,78.8,51.8,12.3,82.5,2111.0,87.0,4.8,12.5,65.5,0.71
7480.T,スズデン,429.9,47.7,12.3,88.5,3390.0,98.0,-0.2,27.8,62.3,0.67
7695.T,交換できるくん,68.4,47.3,13.0,90.1,916.0,76.0,8.8,18.6,66.5,0.22
5136.T,ｔｒｉｐｌａ,118.2,44.4,36.2,73.4,1990.0,96.0,4.7,13.4,62.5,0.49
8996.T,ハウスフリーダム,42.2,38.8,25.4,85.4,1100.0,76.0,0.8,7.0,53.1,1.32
4255.T,ＴＨＥＣＯＯ,74.7,31.1,58.6,87.8,3530.0,96.0,6.3,28.5,45.7,0.54
6599.T,エブレン,58.1,30.3,8.5,90.9,3850.0,91.0,13.8,20.3,70.8,3.25
6863.T,ニレコ,71.5,29.0,8.9,92.2,999.0,76.0,3.4,8.4,68.8,0.79
5576.T,オービーシステム,70.4,28.8,11.8,72.8,3025.0,59.0,2.3,4.4,77.5,0.58
7133.T,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ,93.3,27.2,24.3,89.2,1308.0,91.0,1.5,12.9,50.0,1.08
9344.T,アクシスコンサルティング,65.0,26.4,17.2,81.5,1306.0,95.0,10.4,28.1,62.5,1.63
7565.T,萬世電機,140.1,26.0,9.1,91.2,8630.0,95.0,9.0,25.9,68.1,2.66
6138.T,ダイジェット工業,60.3,25.2,11.9,87.3,2030.0,99.0,8.5,47.7,55.5,0.54
4440.T,ヴィッツ,80.5,25.1,17.1,81.9,2014.0,99.0,48.5,68.0,69.0,9.78
3422.T,Ｊ－ＭＡＸ,71.4,25.0,9.7,73.4,622.0,93.0,0.8,17.5,44.9,0.51
6912.T,菊水ホールディングス,209.9,24.9,12.6,85.5,2521.0,90.0,4.2,17.1,77.1,1.13
7608.T,エスケイジャパン,145.6,23.5,22.2,81.2,868.0,85.0,4.0,10.5,64.0,0.77
9908.T,日本電計,327.4,23.4,12.8,86.9,2884.0,82.0,4.3,9.5,75.5,0.88
3277.T,サンセイランディック,132.4,23.3,10.2,74.7,814.0,93.0,4.1,18.5,51.6,0.45
4994.T,大成ラミックグループ,167.6,22.6,8.6,78.1,2761.0,91.0,-0.4,10.5,55.2,0.82
7185.T,ヒロセ通商,242.4,21.6,10.9,72.9,3940.0,43.0,0.4,2.3,65.4,1.55
1770.T,藤田エンジニアリング,196.4,21.0,9.7,72.5,2138.0,82.0,2.2,7.3,52.3,0.56
4258.T,網屋,373.9,20.5,35.2,81.8,4640.0,94.0,3.0,14.6,57.6,0.8
7217.T,テイン,44.2,20.0,8.3,85.2,451.0,58.0,-0.3,4.0,43.8,0.56
